"{-3, -3}",7.722729555884582e7
"{-3, -2}",2.1795675570919896e6
"{-3, -1}",29142.160323774897
"{-3, 0}",Indeterminate
"{-3, 1}",208157.0707116626
"{-3, 2}",4816.360197537381
"{-3, 3}",2.074129810918715e6
"{-2, -3}",1.6690701266818515e6
"{-2, -2}",928481.1228141775
"{-2, -1}",1958.4348957631926
"{-2, 0}",Indeterminate
"{-2, 1}",8528.956342889502
"{-2, 2}",2340.376749855228
"{-2, 3}",1.6632411205083646e6
"{-1, -3}",56543.76207983264
"{-1, -2}",14214.85484924993
"{-1, -1}",1012.1095463494081
"{-1, 0}",Indeterminate
"{-1, 1}",0.21213203435596428/Abs[0. + 0.023773574963547536*BesselJ[1, ComplexInfinity]]
"{-1, 2}",670.5692111890042
"{-1, 3}",182068.06242716406
"{0, -3}",21371.193485311884
"{0, -2}",900.8790205491977
"{0, -1}",35.807389866210244
"{0, 0}",Indeterminate
"{0, 1}",6.311032983311066
"{0, 2}",136.22442175014632
"{0, 3}",7187.4644692990305
"{1, -3}",157296.18582894583
"{1, -2}",6902.641963949723
"{1, -1}",708.4766824445857
"{1, 0}",Indeterminate
"{1, 1}",0.
"{1, 2}",1776.4868519699016
"{1, 3}",151152.35289768034
"{2, -3}",4.929422563506527e6
"{2, -2}",557088.6736885072
"{2, -1}",11429.79976290651
"{2, 0}",Indeterminate
"{2, 1}",1219.5013096732785
"{2, 2}",11701.883749276138
"{2, 3}",2467.649489475867
"{3, -3}",4.24750125573652e7
"{3, -2}",1.978568138765046e6
"{3, -1}",59953.902989660426
"{3, 0}",Indeterminate
"{3, 1}",59540.10975638449
"{3, 2}",1.727253558298015e6
"{3, 3}",2.0741298109187175e7
